Course Name,Course Description,Credits
ACTG 211, Intro Accounting I,4.00
ARCH 407, Sem Bldg Sys Bldg Ecol,3.00
 ,16575,11,24,1600-1720,tr,278 LA,Donofrio M,a
ARCH 410, Bldg Info Model Revit,2.00
 ,16173,3,16,0900-1150,f,383 LA,Kelso A, 
ARCH 410, Housing Design,3.00
 ,16169,0,16,0830-0950,tr,206 LA,Bollo C,
ARCH 410, High Performance Bldgs,4.00
 ,10250,10,20,1200-1350,t,278 LA,Elzeyadi I,$a
DIS,10250,10,20,1200-1350,r,383 LA
ARCH 423, Top Media Design Devel,3.00
 ,10252,6,16,1000-1150,tr,383 LA,Cheng N,!
 ,10253,8,16,0800-0950,tr,100 LA,Williams D,!
ARCH 435, Princ Urban Design,4.00
 ,10255,2,22,0900-1150,w,279 LA,Gast G,8
DIS,10255,2,22,0900-1600,s 10/07,166 LA
ARCH 450, Spatial Composition,4.00
Lecture,10257,4,123,1400-1520,tr,177 LA,Tice J,!8
+ Dis,10258,0,15,1600-1650,r,286 LA,Huang A, 
+ Dis,10259,0,15,1700-1750,t,405A LA,Brady B, 
+ Dis,10260,0,15,1300-1350,r,405A LA,Brady B, 
+ Dis,10261,0,15,1600-1650,t,279 LA,Garhofer J, 
+ Dis,10262,3,15,1800-1850,t,286 LA,Brady B, 
+ Dis,10263,0,16,1600-1650,t,405A LA,Huang A, 
+ Dis,16190,1,16,1800-1850,t,278 LA,Garhofer J,!
+ Dis,16191,0,16,1000-1150,r,286 LA,Huang A,!
ARCH 461, Structural Behavior,6.00
Lecture,10264,4,72,1000-1150,"mtwrf
9/18-9/22",177 LA,Duff S,!
DIS,10264,4,72,1600-1750,"mtwrf
9/18-9/22",177 LA
DIS,10264,4,72,1000-1150,mwf,177 LA
+ Lab,10266,2,16,1800-1950,t,100 LA,Sears E, 
+ Lab,10267,0,16,0800-0950,r,383 LA,Sears E, 
+ Lab,10268,1,18,1400-1550,r,383 LA,Wylie S, 
+ Lab,16596,0,16,1600-1750,r,383 LA,Alampi E,!
+ Lab,16686,1,16,0800-0950,t,383 LA,Sears E,!
ARCH 470, Building Construction,4.00
Lecture,10271,7,123,0830-0950,tr,177 LA,Hahn T,!
+ Lab,10272,0,15,1600-1750,t,104 PAC,Benjamin W, 
+ Lab,10273,2,15,1800-1950,t,104 PAC,Michel B, 
+ Lab,10274,1,15,1800-1950,r,104 PAC,Benjamin W, 
+ Lab,10275,0,16,1600-1750,r,104 PAC,Peden-Spear R, 
+ Lab,10276,0,16,1000-1150,t,104 PAC,Guyer M, 
+ Lab,10277,0,16,1000-1150,r,104 PAC,Guyer M, 
+ Lab,16703,4,16,0800-0950,w,101 PAC,Michel B,!
+ Lab,16704,0,16,1000-1150,f,101 PAC,Peden-Spear R,!
ARCH 471, Building Enclosure,4.00
Lecture,10278,1,72,1000-1150,tr,115 LA,Rowell J,!
+ Lab,10279,0,17,1400-1520,t,104 PAC,Nazari A, 
+ Lab,10280,1,17,0830-0950,w,104 PAC,Nazari A, 
+ Lab,10281,0,20,1000-1120,f,104 PAC,Spoon S, 
ARCH 476, Res Construct OR BILDS,4.00
 ,10285,7,16,1400-1550,tr,278 LA,Neal C,!a
ARCH 480, Superv Design Teaching,1.00-3.00
 ,16362,16,16,-, , ,tba,!
ARCH 484, Arch Design PHANTOM,6.00
 ,10286,0,0,1300-1650,mwf,TBA TBA,tba,!$
ARCH 484, Arch Design,6.00
 ,10288,5,16,1300-1650,mwf,481 LA,Hilton T,!$
 ,10289,2,16,1300-1650,mwf,121 GER,Polites M,!$
 ,10290,2,16,1300-1650,mwf,120 GER,Hahn T,!$
 ,10291,2,16,1300-1650,mwf,144 GER,Keyes P,!$
 ,10292,6,16,1300-1650,mwf,324 LA,Cheng N,!$
 ,10293,7,16,1300-1650,mwf,320 LA,Gillem M,!$
 ,10294,1,16,1300-1650,mwf,143 GER,Neal C,!$
 ,10295,2,16,1300-1650,mwf,141 GER,Sheine J,!$
 ,10296,7,16,1300-1650,mwf,142 GER,Wood D,!$
 ,16744,3,16,1200-1750,wf,125 GER,Guivernau S,!$
ARH 150, Intro Visual Culture >1,4.00
Lecture,10371,0,100,1300-1350,mwf,110 FEN,DuBois S, 
+ Dis,16077,0,25,0900-0950,m,106 FR,Freissle K, 
+ Dis,16078,0,25,1600-1650,m,203 CON,Delgado Hernandez T, 
+ Dis,16079,0,25,1600-1650,t,241 LA,Delgado Hernandez T, 
+ Dis,16080,0,25,0900-0950,w,203 CON,Freissle K, 
ARH 205, Hist Western Art II >1,4.00
Lecture,15642,1,100,1400-1520,tr,245 STB,Ehrlich V,8
+ Dis,16081,0,25,0900-0950,m,203 CON,Erickson E, 
+ Dis,16082,0,25,0900-0950,f,260 CON,Loeb H, 
+ Dis,16083,0,25,0900-0950,t,241 LA,Erickson E, 
+ Dis,16084,1,25,1400-1450,m,241 LA,Loeb H, 
ARH 208, Hist of Chinese Art >1 >GP >IC,4.00
Lecture,16119,7,96,1000-1120,tr,240C MCK,Gasparini C,9
+ Dis,16121,0,24,1200-1250,m,241 LA,Xiao S, 
+ Dis,16122,3,24,0900-0950,m,104 CON,Xiao S, 
+ Dis,16123,1,24,1200-1250,f,203 CON,Dawson L, 
+ Dis,16124,3,24,0900-0950,w,241 LA,Dawson L, 
ARH 314, Hist of World Arch I >1 >GP >IC,4.00
Lecture,10386,6,200,1600-1720,tr,123 PAC,Hutterer M, 
+ Dis,10387,4,25,0800-0850,m,230 LA,Fieser M, 
+ Dis,10388,0,25,0900-0950,t,45 COL,Chitwood G, 
+ Dis,10390,0,25,0800-0850,w,230 LA,Johnson J,!
+ Dis,10391,1,26,0900-0950,r,246 GER,Fieser M,!U
+ Dis,10392,0,25,1300-1350,f,101 PETR,McCall P,!U
+ Dis,16085,1,25,1200-1250,t,241 LA,Chitwood G,!U
+ Dis,16100,0,25,1600-1650,m,151 STB,McCall P, 
+ Dis,16154,0,25,0900-0950,f,241 LA,Johnson J, 
ARH 325, Islamic Art & Architec >1 >GP >IC,4.00
 ,15644,2,35,1000-1120,mw,104 CON,Gasparini C,8
ARH 350, History of Manga >GP >IC,4.00
 ,16276,2,70,1400-1520,mw,204 TYKE,Walley A, 
ARH 373, 20C Latin American Art >AC >US,4.00
 ,15646,2,35,1000-1120,tr,106 FR,Eggener K, 
ARH 373, 20C Latin American Art >AC >US,4.00
 ,15646,2,35,1000-1120,tr,106 FR,Eggener K, 
ARH 399, Sp St Baroque A/Empire,4.00
 ,15647,2,35,1200-1320,tr,254 STB,Ehrlich V,8
ARH 401, Research,1.00-8.00
 ,10395,10,10,tba,tba,tba,STAFF,
ARH 403, Thesis,1.00-6.00
