Course Name,Course Description,Credits,Section Type,CRN,Available Seats,Total Seats,Days,Time,Location,Instructor,Requirements
ANTH 175,Evolutionary Medicine >3,4.00,+ Lab,10157,0,20,1500-1550,t,204 CON,Cotton S,N/A
ANTH 175,Evolutionary Medicine >3,4.00,+ Lab,10158,0,20,1600-1650,t,204 CON,Cotton S,N/A
ANTH 175,Evolutionary Medicine >3,4.00,+ Lab,10159,0,20,0900-0950,w,330 CON,Reda H,N/A
ANTH 175,Evolutionary Medicine >3,4.00,+ Lab,10160,0,20,1000-1050,w,330 CON,Reda H,N/A
ANTH 175,Evolutionary Medicine >3,4.00,+ Lab,10161,0,20,1100-1150,w,330 CON,Reda H,N/A
ANTH 175,Evolutionary Medicine >3,4.00,+ Lab,10162,0,20,1200-1250,w,330 CON,Reda H,N/A
ANTH 176,Intro to Forensic Anth >3,4.00,Lecture,10163,4,157,1400-1520,tr,101 LLCS,Ulibarri L,!$U
ANTH 176,Intro to Forensic Anth >3,4.00,+ Lab,10164,0,20,0900-0950,f,368 CON,McCarter J,N/A
ANTH 176,Intro to Forensic Anth >3,4.00,+ Lab,10165,0,20,1000-1050,f,368 CON,McCarter J,N/A
ANTH 176,Intro to Forensic Anth >3,4.00,+ Lab,10166,0,20,1100-1150,f,368 CON,McCarter J,!U
ANTH 176,Intro to Forensic Anth >3,4.00,+ Lab,10167,0,20,1200-1250,f,368 CON,McCarter J,N/A
ANTH 176,Intro to Forensic Anth >3,4.00,+ Lab,10168,1,20,1300-1350,f,368 CON,Jolly D,N/A
ANTH 176,Intro to Forensic Anth >3,4.00,+ Lab,10169,0,20,1400-1450,f,368 CON,Jolly D,N/A
ANTH 176,Intro to Forensic Anth >3,4.00,+ Lab,10170,0,20,1500-1550,f,368 CON,Jolly D,N/A
ANTH 176,Intro to Forensic Anth >3,4.00,+ Lab,10171,3,17,1600-1650,f,368 CON,Jolly D,N/A
ANTH 340,Fund of Archaeology >3,4.00,Lecture,15553,1,30,1000-1150,mw,106 CON,Carter A,!
ANTH 366,Human Osteology Lab,4.00,Lecture,10184,0,20,1200-1350,mw,368 CON,Kuehn K,!$
ANTH 366,Human Osteology Lab,4.00,Lecture,16500,3,20,1000-1150,mw,368 CON,Frost S,!$
ANTH 401,Research,1.00-21.00,Lecture,10186,10,10,tba,tba,tba,STAFF,N/A
